K_source,data_sha256,dataset_id,development_use_history,input_kind,label_key,labels_embedded,labels_path,labels_used_during_fit,labels_used_for_selection,n_clusters,n_features,n_samples,npz_sha256,panel,path,representation,source_group,source_h5ad,source_h5ad_sha256,source_reference,source_verification,sparsity,status,test_used_for_selection
benchmark_oracle_from_y,3cdd87d998466a00bc2268586be544530a2c89d488fb685b34e0e41f5ef04759,Drug_Consumption,,general,,True,,,,4,12,1749,,clubench,/data/luolie/ToPoGate/datasets/Drug Consumption.npz,CLUBench-provided,Drug Consumption,,,,pending,0.0,candidate,
benchmark_oracle_from_y,7bf64321e94f34c435c1d545917cda00911c9d1921f4ecde598371a57cb49e4c,dry_bean,,general,,True,,,,7,16,9997,,clubench,/data/luolie/ToPoGate/datasets/dry_bean.npz,CLUBench-provided,dry_bean,,,,pending,0.0,candidate,
benchmark_oracle_from_y,fcd590ba701dd29777185964dda7fad1d436377fdd0ba662c7248265d92f9e25,durum_wheat_features,,general,,True,,,,3,236,9000,,clubench,/data/luolie/ToPoGate/datasets/durum_wheat_features.npz,CLUBench-provided,durum_wheat_features,,,,pending,0.0,candidate,
benchmark_oracle_from_y,120daafe425aeb25de45097a53ddce9dc63e3f791212bbb7ad660ff8d98138b3,echocardiogram,,general,,True,,,,2,10,61,,clubench,/data/luolie/ToPoGate/datasets/echocardiogram.npz,CLUBench-provided,echocardiogram,,,,pending,0.15245901639344261,candidate,
benchmark_oracle_from_y,a8c7517b3e68c1d27f2f6920d4cd705281b1e12c207be82839de627b97f629e6,ecoli,,general,,True,,,,5,7,327,,clubench,/data/luolie/ToPoGate/datasets/ecoli.npz,CLUBench-provided,ecoli,,,,pending,0.0017474879860200961,candidate,
benchmark_oracle_from_y,b948a134030457668937d969f8848d81aaff669a2a730475b2ea83addbab9347,enron,,general,,True,,,,2,4096,9999,,clubench,/data/luolie/ToPoGate/datasets/enron.npz,CLUBench-provided,enron,,,,pending,0.0007889704986123612,candidate,
benchmark_oracle_from_y,d063f1bcaf76e895d6befd1eae36b05f30cf78320cbd1b7cce5fd230d36b40ef,epileptic_seizure_recognition,,general,,True,,,,5,178,5750,,clubench,/data/luolie/ToPoGate/datasets/epileptic_seizure_recognition.npz,CLUBench-provided,epileptic_seizure_recognition,,,,pending,0.00017391304347826088,candidate,
benchmark_oracle_from_y,4be8a8d10b157be84878cdc168c6fda60e5311eb831a384bdf9708bf237b4dab,extyaleb,,general,,True,,,,5,30,319,,clubench,/data/luolie/ToPoGate/datasets/extyaleb.npz,CLUBench-provided,extyaleb,,,,pending,0.0,candidate,
benchmark_oracle_from_y,afec068227c7cd5b9f10f383bb06b0cc848417ed47a163e7b74a8e543b2084ca,fabert,,general,,True,,,,7,800,8237,,clubench,/data/luolie/ToPoGate/datasets/fabert.npz,CLUBench-provided,fabert,,,,pending,0.9861214641252883,candidate,
benchmark_oracle_from_y,00fd65f40b783d1bbcb7b933c232e990096735f6d4da156702da2541d8c62044,fashion_mnist,,general,,True,,,,10,784,3000,,clubench,/data/luolie/ToPoGate/datasets/fashion_mnist.npz,CLUBench-provided,fashion_mnist,,,,pending,0.5037291666666667,candidate,
benchmark_oracle_from_y,3c4b95037c85b48d865d197de9f38b82ab411ef48ae66fe33da5c03529546afb,FashionMNIST_CLIP,,general,,True,,,,10,512,10000,,clubench,/data/luolie/ToPoGate/datasets/FashionMNIST_CLIP.npz,CLUBench-provided,FashionMNIST_CLIP,,,,pending,0.0,candidate,
benchmark_oracle_from_y,4c6426783b253f08d6be75aaa2a6e165f93691ac6bfa0b970c2ec142644a0aa6,fbis.wc,,general,,True,,,,11,2000,2196,,clubench,/data/luolie/ToPoGate/datasets/fbis.wc.npz,CLUBench-provided,fbis.wc,,,,pending,0.9181586976320583,candidate,
benchmark_oracle_from_y,a378d109394a69625eb5672a39fe6563a31761f24e964ac856c9e2dbf7409e4a,fetal_health_classification,,general,,True,,,,3,21,2126,,clubench,/data/luolie/ToPoGate/datasets/fetal_health_classification.npz,CLUBench-provided,fetal_health_classification,,,,pending,0.27426869148411953,candidate,
benchmark_oracle_from_y,667cca3fb6e9ddc0c531ab776d2bc8fbbe071272068283e300bf5be459ab0069,first-order-theorem-proving,,general,,True,,,,6,51,6118,,clubench,/data/luolie/ToPoGate/datasets/first-order-theorem-proving.npz,CLUBench-provided,first-order-theorem-proving,,,,pending,0.0,candidate,
benchmark_oracle_from_y,1be9ec6098fcb721f47c4fddf04047b6f6c6b96623174db9ef700343e009b444,flickr_material_database,,general,,True,,,,10,1536,997,,clubench,/data/luolie/ToPoGate/datasets/flickr_material_database.npz,CLUBench-provided,flickr_material_database,,,,pending,0.0010030090270812437,candidate,
benchmark_oracle_from_y,2bd698a08ab9dceed52b4bcfedb9435b385a72456badf90febcac07a42c66eba,fraud_detection_bank,,general,,True,,,,2,112,9999,,clubench,/data/luolie/ToPoGate/datasets/fraud_detection_bank.npz,CLUBench-provided,fraud_detection_bank,,,,pending,0.8219705899161345,candidate,
benchmark_oracle_from_y,58b41daa32784a0d0bfb03bbddd960d6da080e6d278835af1adff01621787b94,gas-drift,,general,,True,,,,6,128,10000,,clubench,/data/luolie/ToPoGate/datasets/gas-drift.npz,CLUBench-provided,gas-drift,,,,pending,2.1875e-05,candidate,
benchmark_oracle_from_y,9f63ba9a466d7cb69ba25de618a1e33882c808e0125f08d47a73d3f8f4c5d068,gina_prior2,,general,,True,,,,10,784,3468,,clubench,/data/luolie/ToPoGate/datasets/gina_prior2.npz,CLUBench-provided,gina_prior2,,,,pending,0.8079437657415908,candidate,
benchmark_oracle_from_y,bd1e797ec7e193469b008935e0c0540e20bf0367cde44ef2f3854f5dbc9df92d,glass_identification,,general,,True,,,,6,9,214,,clubench,/data/luolie/ToPoGate/datasets/glass_identification.npz,CLUBench-provided,glass_identification,,,,pending,0.2035306334371755,candidate,
benchmark_oracle_from_y,d721df683494b0b820863c166038634f0ca7922b87d51820b15c6bcc9b6aa9f6,har,,general,,True,,,,6,561,735,,clubench,/data/luolie/ToPoGate/datasets/har.npz,CLUBench-provided,har,,,,pending,0.014451841342597645,candidate,
benchmark_oracle_from_y,5605ce8669238f7294821a4d403ea9e914f2f86354f0fc046233990dcfbc96c7,harbermans_survival,,general,,True,,,,2,3,306,,clubench,/data/luolie/ToPoGate/datasets/harbermans_survival.npz,CLUBench-provided,harbermans_survival,,,,pending,0.14814814814814814,candidate,
benchmark_oracle_from_y,c39fc08366c0423b8a2f4e3543df6d5b06f2e0b065813e120263b99e7d1e44bb,hate_speech,,general,,True,,,,3,100,3221,,clubench,/data/luolie/ToPoGate/datasets/hate_speech.npz,CLUBench-provided,hate_speech,,,,pending,0.9701210804098106,candidate,
benchmark_oracle_from_y,3a4c4a7b5a8274047f01743383a3820a31f402938804e5c8449eda611a6f3367,heart_attack_analysis_prediction_dataset,,general,,True,,,,2,13,303,,clubench,/data/luolie/ToPoGate/datasets/heart_attack_analysis_prediction_dataset.npz,CLUBench-provided,heart_attack_analysis_prediction_dataset,,,,pending,0.2906829144452907,candidate,
benchmark_oracle_from_y,c5f173a31064fe2aa49da20b4da1d3a73da41420e0c308a52680b8fd604bc412,heart_disease,,general,,True,,,,5,13,297,,clubench,/data/luolie/ToPoGate/datasets/heart_disease.npz,CLUBench-provided,heart_disease,,,,pending,0.25045325045325045,candidate,
benchmark_oracle_from_y,a52ea2fd9e5c34ce82573a4d2ddcd17ec32e2e04504495e41c868da89c31abf9,hepatitis,,general,,True,,,,2,19,80,,clubench,/data/luolie/ToPoGate/datasets/hepatitis.npz,CLUBench-provided,hepatitis,,,,pending,0.0006578947368421052,candidate,
benchmark_oracle_from_y,3c712cf75174bf7f4e3f0a021e80b2b5482c6c706e1b69d6e3f1ab49f0d99510,htru2,,general,,True,,,,2,8,9999,,clubench,/data/luolie/ToPoGate/datasets/htru2.npz,CLUBench-provided,htru2,,,,pending,0.0,candidate,
benchmark_oracle_from_y,7420d9fdb12712c37177303425846f51a2dc55bc770c7bd4cb23e76912c7e3fa,human_stress_detection,,general,,True,,,,3,3,2001,,clubench,/data/luolie/ToPoGate/datasets/human_stress_detection.npz,CLUBench-provided,human_stress_detection,,,,pending,0.0016658337497917708,candidate,
benchmark_oracle_from_y,fa7e9febb8b33ed322453d237ee9aa4787219c66f42d53e3c54b37a67c722f4a,image_segmentation,,general,,True,,,,7,19,210,,clubench,/data/luolie/ToPoGate/datasets/image_segmentation.npz,CLUBench-provided,image_segmentation,,,,pending,0.11854636591478697,candidate,
benchmark_oracle_from_y,2b4e1db921dbe16c094844ada1f02f36bcc6781886f8c3a07830776de84200cc,imdb,,general,,True,,,,2,700,3250,,clubench,/data/luolie/ToPoGate/datasets/imdb.npz,CLUBench-provided,imdb,,,,pending,0.9417613186813186,candidate,
benchmark_oracle_from_y,67ab1a25361c559aea7244a63122453116eeb89493647e88a66fd15acf1ff83a,Indian_pines,,general,,True,,,,5,220,8858,,clubench,/data/luolie/ToPoGate/datasets/Indian_pines.npz,CLUBench-provided,Indian_pines,,,,pending,0.0,candidate,
benchmark_oracle_from_y,d1919a74df67090f8eff1ebcf23b06d6befa562eb1f965c83b4b79e9e303b6cf,insurance_company_benchmark,,general,,True,,,,2,85,5822,,clubench,/data/luolie/ToPoGate/datasets/insurance_company_benchmark.npz,CLUBench-provided,insurance_company_benchmark,,,,pending,0.5558449693858993,candidate,
benchmark_oracle_from_y,8a1cce5b11f2699fe6da2f6a0379d605b42cf6290ec312e6fbd6f220c2c736b7,ionosphere,,general,,True,,,,2,34,351,,clubench,/data/luolie/ToPoGate/datasets/ionosphere.npz,CLUBench-provided,ionosphere,,,,pending,0.11907156024803084,candidate,
benchmark_oracle_from_y,c31ba1e4f6d7a1dbeb7287dac646598d95986cf0d5a6b26705f684da53f33fd5,iris,,general,,True,,,,3,4,150,,clubench,/data/luolie/ToPoGate/datasets/iris.npz,CLUBench-provided,iris,,,,pending,0.0,candidate,
benchmark_oracle_from_y,6b4853a4b97c8649722d2d28460060d23898246bad5025bd298e9aa27c9b1083,ISOLET,,general,,True,,,,26,617,7797,,clubench,/data/luolie/ToPoGate/datasets/ISOLET.npz,CLUBench-provided,ISOLET,,,,pending,0.003560360351371481,candidate,
benchmark_oracle_from_y,46cf4191f158a04353de1daa1180b204db81196b6c6aa4c7a91e9b575aea7edc,JapaneseVowels,,general,,True,,,,9,14,9961,,clubench,/data/luolie/ToPoGate/datasets/JapaneseVowels.npz,CLUBench-provided,JapaneseVowels,,,,pending,7.170823353937499e-06,candidate,
benchmark_oracle_from_y,0733fb284af6c65e22c2247cb097e40381ff607b7ee65364854bc80d8a8446df,labeled_faces_in_the_wild,,general,,True,,,,2,5828,2200,,clubench,/data/luolie/ToPoGate/datasets/labeled_faces_in_the_wild.npz,CLUBench-provided,labeled_faces_in_the_wild,,,,pending,9.515193111624134e-05,candidate,
benchmark_oracle_from_y,5179303d010fd9765be3a4156e0dee887ec47efd7190fa24c0ca1e66423ad3a0,letter_recognition,,general,,True,,,,26,16,9992,,clubench,/data/luolie/ToPoGate/datasets/letter_recognition.npz,CLUBench-provided,letter_recognition,,,,pending,0.026721377101681345,candidate,
benchmark_oracle_from_y,60b6fd364ba4346542614956ea42fc344dc70144e3e98597bdcd70f92494adaf,magic_gamma_telescope,,general,,True,,,,2,10,9999,,clubench,/data/luolie/ToPoGate/datasets/magic_gamma_telescope.npz,CLUBench-provided,magic_gamma_telescope,,,,pending,0.0012701270127012702,candidate,
benchmark_oracle_from_y,82143d6fd3cdee084a96f5e87ea60b55589103f20e99bc3e292f99e06aeeffd5,mammographic_mass,,general,,True,,,,2,5,830,,clubench,/data/luolie/ToPoGate/datasets/mammographic_mass.npz,CLUBench-provided,mammographic_mass,,,,pending,0.0012048192771084338,candidate,
benchmark_oracle_from_y,c2846bfff61071cb25f2bcb1830261ae6d6b08646091e663d82670f56f333255,mfeat-factors,,general,,True,,,,10,216,2000,,clubench,/data/luolie/ToPoGate/datasets/mfeat-factors.npz,CLUBench-provided,mfeat-factors,,,,pending,0.005442129629629629,candidate,
benchmark_oracle_from_y,06cd9b3fb8e6293daef1c8c31c79abb699c3e2ba228e466984c0c02cb70ec977,mfeat-fourier,,general,,True,,,,10,76,2000,,clubench,/data/luolie/ToPoGate/datasets/mfeat-fourier.npz,CLUBench-provided,mfeat-fourier,,,,pending,0.0,candidate,
benchmark_oracle_from_y,8a72b97187ef262202fd7335ac17f5540b43517c8b82cd074de909137fbe687f,mfeat-karhunen,,general,,True,,,,10,64,2000,,clubench,/data/luolie/ToPoGate/datasets/mfeat-karhunen.npz,CLUBench-provided,mfeat-karhunen,,,,pending,0.0,candidate,
benchmark_oracle_from_y,54a56fcd40797345556d235bee9c429a3b6b83fe47ffe2ee653e713adbd17e62,mfeat-morphological,,general,,True,,,,10,6,2000,,clubench,/data/luolie/ToPoGate/datasets/mfeat-morphological.npz,CLUBench-provided,mfeat-morphological,,,,pending,0.20333333333333334,candidate,
benchmark_oracle_from_y,bd69f15acd129faf2ffd7e19a85037870884c801a6187c68e74fe897d629b40c,micro-mass,,general,,True,,,,10,1300,360,,clubench,/data/luolie/ToPoGate/datasets/micro-mass.npz,CLUBench-provided,micro-mass,,,,pending,0.8959123931623931,candidate,
benchmark_oracle_from_y,59fecdf62717b78aaff904682a285015f26834abf75745c539a50b5266f34100,microbes,,general,,True,,,,10,24,9995,,clubench,/data/luolie/ToPoGate/datasets/microbes.npz,CLUBench-provided,microbes,,,,pending,0.0006920126730031683,candidate,
benchmark_oracle_from_y,54c25f1bf649919a6a302fe7b283c4cd0674f956771e41f0eee02a0ac03d1c93,mnist64,,general,,True,,,,6,64,1082,,clubench,/data/luolie/ToPoGate/datasets/mnist64.npz,CLUBench-provided,mnist64,,,,pending,0.4935160582255083,candidate,
benchmark_oracle_from_y,c53a53c42b84900972e51fb3273d9beedb8ade688ca34a14cf2961c1b798478c,MNIST_CLIP,,general,,True,,,,10,512,9996,,clubench,/data/luolie/ToPoGate/datasets/MNIST_CLIP.npz,CLUBench-provided,MNIST_CLIP,,,,pending,0.0,candidate,
benchmark_oracle_from_y,1ca76f152a8388edd4c585cecd6b1030cd8b4ecd45d712d8bb011b03d0b144ac,mobile_price_classification,,general,,True,,,,4,20,2000,,clubench,/data/luolie/ToPoGate/datasets/mobile_price_classification.npz,CLUBench-provided,mobile_price_classification,,,,pending,0.15405,candidate,
benchmark_oracle_from_y,d3bc2eb08d95acd12d324f668c537ae4208de57c355862f8e5800d4ba1e727c1,Mouse_retina,,general,,True,,,,5,6198,8352,,clubench,/data/luolie/ToPoGate/datasets/Mouse_retina.npz,CLUBench-provided,Mouse_retina,,,,pending,0.9480006411968266,candidate,
benchmark_oracle_from_y,30491c6533a5096eb238592fe5b70191a93ec6991dfe821ede7eefebafe635ce,music_genre_classification,,general,,True,,,,10,26,1000,,clubench,/data/luolie/ToPoGate/datasets/music_genre_classification.npz,CLUBench-provided,music_genre_classification,,,,pending,0.0,candidate,
benchmark_oracle_from_y,392d3df0955d81240a34e931b51b88067c9a4eaa69459a53290c60c704ee7a9f,olivetti_faces,,general,,True,,,,40,4096,400,,clubench,/data/luolie/ToPoGate/datasets/olivetti_faces.npz,CLUBench-provided,olivetti_faces,,,,pending,6.103515625e-07,candidate,
benchmark_oracle_from_y,18474ef1ac1437ea5b0679418a2655d94c5323346e711cb469b13cb185406221,optical_recognition_of_handwritten_digits,,general,,True,,,,10,64,3823,,clubench,/data/luolie/ToPoGate/datasets/optical_recognition_of_handwritten_digits.npz,CLUBench-provided,optical_recognition_of_handwritten_digits,,,,pending,0.4879634776353649,candidate,
benchmark_oracle_from_y,bdb0ca09a4651089a97c1366de085e7b66d9020012701e74e1e7e4c69d1d02c5,orbit_classification_for_prediction_nasa,,general,,True,,,,3,11,1722,,clubench,/data/luolie/ToPoGate/datasets/orbit_classification_for_prediction_nasa.npz,CLUBench-provided,orbit_classification_for_prediction_nasa,,,,pending,0.0,candidate,
benchmark_oracle_from_y,ce7e2bee8632f38514995e7114392f4df5f157614a8d8e56851eaf1017c01609,paris_housing_classification,,general,,True,,,,2,17,10000,,clubench,/data/luolie/ToPoGate/datasets/paris_housing_classification.npz,CLUBench-provided,paris_housing_classification,,,,pending,0.152,candidate,
benchmark_oracle_from_y,f2d9725e336aa805860318a3971011d749ab8983c5fae910d7036a6cdad12480,parkinsons,,general,,True,,,,2,22,195,,clubench,/data/luolie/ToPoGate/datasets/parkinsons.npz,CLUBench-provided,parkinsons,,,,pending,0.0,candidate,
benchmark_oracle_from_y,632de83b2daeca0230d6d44c38eaf469c531d6024b626f39f29ec7c72b07c07b,patient_treatment_classification,,general,,True,,,,2,10,4412,,clubench,/data/luolie/ToPoGate/datasets/patient_treatment_classification.npz,CLUBench-provided,patient_treatment_classification,,,,pending,0.048096101541251136,candidate,
benchmark_oracle_from_y,ab640878f228489c64c6df74d876373f3d793186d58853f7edf9658f88951b3a,PCam,,general,,True,,,,2,27648,4000,,clubench,/data/luolie/ToPoGate/datasets/PCam.npz,CLUBench-provided,PCam,,,,pending,0.0013962040653935186,candidate,
benchmark_oracle_from_y,c84d60518da920e23c757e751e42bbea213d5e68b751790e69fd6d4cc8d6d2a3,pen_based_recognition_of_handwritten_digits,,general,,True,,,,10,16,7494,,clubench,/data/luolie/ToPoGate/datasets/pen_based_recognition_of_handwritten_digits.npz,CLUBench-provided,pen_based_recognition_of_handwritten_digits,,,,pending,0.1281775420336269,candidate,
benchmark_oracle_from_y,fe299bc9920ffaa870fb8fd294482cb0a74db4759f5d6342880b9eeec06d7370,ph_recognition,,general,,True,,,,15,3,653,,clubench,/data/luolie/ToPoGate/datasets/ph_recognition.npz,CLUBench-provided,ph_recognition,,,,pending,0.08371618172537008,candidate,
benchmark_oracle_from_y,0d7cfea8778d1747e1f5528dfe30a3377c803f00927e1b2f194a29171dc7878b,pima_indians_diabetes_database,,general,,True,,,,2,8,768,,clubench,/data/luolie/ToPoGate/datasets/pima_indians_diabetes_database.npz,CLUBench-provided,pima_indians_diabetes_database,,,,pending,0.12418619791666667,candidate,
benchmark_oracle_from_y,4b46e833ef8c8c10612db7619a32f8f43dc5bb7115ece53392fdf58563c8d91c,pistachio,,general,,True,,,,2,28,2148,,clubench,/data/luolie/ToPoGate/datasets/pistachio.npz,CLUBench-provided,pistachio,,,,pending,0.0,candidate,
benchmark_oracle_from_y,93fcf72ee36ee679432d7f1baa1815c984d9c6169d455f755954ee9235c07a37,planning_relax,,general,,True,,,,2,12,182,,clubench,/data/luolie/ToPoGate/datasets/planning_relax.npz,CLUBench-provided,planning_relax,,,,pending,0.0,candidate,
benchmark_oracle_from_y,b2f8c5de07630322a8dd827aff3c7046e4ba91a84d0a2590a70bed663db00ce5,poker-hand,,general,,True,,,,2,10,10000,,clubench,/data/luolie/ToPoGate/datasets/poker-hand.npz,CLUBench-provided,poker-hand,,,,pending,0.0,candidate,
benchmark_oracle_from_y,0ec9e5f111758950239301729cf7fed236abeb5426b61d74163732f57dc7113d,predicting_pulsar_star,,general,,True,,,,2,8,9273,,clubench,/data/luolie/ToPoGate/datasets/predicting_pulsar_star.npz,CLUBench-provided,predicting_pulsar_star,,,,pending,0.0,candidate,
benchmark_oracle_from_y,31dbf3e77a71494a687ec609a6c7d478c1995a763a0055d2f95f7991c99e1da4,pumpkin_seeds,,general,,True,,,,2,12,2500,,clubench,/data/luolie/ToPoGate/datasets/pumpkin_seeds.npz,CLUBench-provided,pumpkin_seeds,,,,pending,0.0,candidate,
benchmark_oracle_from_y,a714d731ce7c003b050dcd61bb26637a5808f0600a53aa8f6971655b8c12f709,raisin,,general,,True,,,,2,7,900,,clubench,/data/luolie/ToPoGate/datasets/raisin.npz,CLUBench-provided,raisin,,,,pending,0.0,candidate,
