model,dataset,seed,source,accepted,protocol,historical_source_path,reason
KMeans,cardiovascular_study,123,new_run,yes,transductive,,accepted target seed record
KMeans,cardiovascular_study,7,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,cardiovascular_study,42,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,cardiovascular_study,123,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,cardiovascular_study,7,new_run,yes,transductive,,accepted target seed record
KMeans,cifar10,42,new_run,yes,transductive,,accepted target seed record
KMeans,cifar10,123,new_run,yes,transductive,,accepted target seed record
KMeans,cifar10,7,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,cifar10,42,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,cifar10,123,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,cifar10,7,new_run,yes,transductive,,accepted target seed record
KMeans,CIFAR10_CLIP,42,new_run,yes,transductive,,accepted target seed record
KMeans,CIFAR10_CLIP,123,new_run,yes,transductive,,accepted target seed record
KMeans,CIFAR10_CLIP,7,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,CIFAR10_CLIP,42,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,CIFAR10_CLIP,123,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,CIFAR10_CLIP,7,new_run,yes,transductive,,accepted target seed record
KMeans,classification_in_asteroseismology,42,new_run,yes,transductive,,accepted target seed record
KMeans,classification_in_asteroseismology,123,new_run,yes,transductive,,accepted target seed record
KMeans,classification_in_asteroseismology,7,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,classification_in_asteroseismology,42,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,classification_in_asteroseismology,123,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,classification_in_asteroseismology,7,new_run,yes,transductive,,accepted target seed record
KMeans,cnae9,42,new_run,yes,transductive,,accepted target seed record
KMeans,cnae9,123,new_run,yes,transductive,,accepted target seed record
KMeans,cnae9,7,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,cnae9,42,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,cnae9,123,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,cnae9,7,new_run,yes,transductive,,accepted target seed record
KMeans,coil20,42,new_run,yes,transductive,,accepted target seed record
KMeans,coil20,123,new_run,yes,transductive,,accepted target seed record
KMeans,coil20,7,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,coil20,42,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,coil20,123,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,coil20,7,new_run,yes,transductive,,accepted target seed record
KMeans,COIL20_CLIP,42,new_run,yes,transductive,,accepted target seed record
KMeans,COIL20_CLIP,123,new_run,yes,transductive,,accepted target seed record
KMeans,COIL20_CLIP,7,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,COIL20_CLIP,42,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,COIL20_CLIP,123,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,COIL20_CLIP,7,new_run,yes,transductive,,accepted target seed record
KMeans,credit_risk_classification,42,new_run,yes,transductive,,accepted target seed record
KMeans,credit_risk_classification,123,new_run,yes,transductive,,accepted target seed record
KMeans,credit_risk_classification,7,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,credit_risk_classification,42,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,credit_risk_classification,123,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,credit_risk_classification,7,new_run,yes,transductive,,accepted target seed record
KMeans,crowdsourced_mapping,42,new_run,yes,transductive,,accepted target seed record
KMeans,crowdsourced_mapping,123,new_run,yes,transductive,,accepted target seed record
KMeans,crowdsourced_mapping,7,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,crowdsourced_mapping,42,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,crowdsourced_mapping,123,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,crowdsourced_mapping,7,new_run,yes,transductive,,accepted target seed record
KMeans,customer_classification,42,new_run,yes,transductive,,accepted target seed record
KMeans,customer_classification,123,new_run,yes,transductive,,accepted target seed record
KMeans,customer_classification,7,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,customer_classification,42,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,customer_classification,123,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,customer_classification,7,new_run,yes,transductive,,accepted target seed record
KMeans,date_fruit,42,new_run,yes,transductive,,accepted target seed record
KMeans,date_fruit,123,new_run,yes,transductive,,accepted target seed record
KMeans,date_fruit,7,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,date_fruit,42,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,date_fruit,123,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,date_fruit,7,new_run,yes,transductive,,accepted target seed record
KMeans,dermatology,42,new_run,yes,transductive,,accepted target seed record
KMeans,dermatology,123,new_run,yes,transductive,,accepted target seed record
KMeans,dermatology,7,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,dermatology,42,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,dermatology,123,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,dermatology,7,new_run,yes,transductive,,accepted target seed record
KMeans,diabetic_retinopathy_debrecen,42,new_run,yes,transductive,,accepted target seed record
KMeans,diabetic_retinopathy_debrecen,123,new_run,yes,transductive,,accepted target seed record
KMeans,diabetic_retinopathy_debrecen,7,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,diabetic_retinopathy_debrecen,42,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,diabetic_retinopathy_debrecen,123,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,diabetic_retinopathy_debrecen,7,new_run,yes,transductive,,accepted target seed record
KMeans,dilbert,42,new_run,yes,transductive,,accepted target seed record
KMeans,dilbert,123,new_run,yes,transductive,,accepted target seed record
KMeans,dilbert,7,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,dilbert,42,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,dilbert,123,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,dilbert,7,new_run,yes,transductive,,accepted target seed record
KMeans,Drug_Consumption,42,new_run,yes,transductive,,accepted target seed record
KMeans,Drug_Consumption,123,new_run,yes,transductive,,accepted target seed record
KMeans,Drug_Consumption,7,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,Drug_Consumption,42,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,Drug_Consumption,123,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,Drug_Consumption,7,new_run,yes,transductive,,accepted target seed record
KMeans,dry_bean,42,new_run,yes,transductive,,accepted target seed record
KMeans,dry_bean,123,new_run,yes,transductive,,accepted target seed record
KMeans,dry_bean,7,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,dry_bean,42,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,dry_bean,123,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,dry_bean,7,new_run,yes,transductive,,accepted target seed record
KMeans,durum_wheat_features,42,new_run,yes,transductive,,accepted target seed record
KMeans,durum_wheat_features,123,new_run,yes,transductive,,accepted target seed record
KMeans,durum_wheat_features,7,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,durum_wheat_features,42,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,durum_wheat_features,123,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,durum_wheat_features,7,new_run,yes,transductive,,accepted target seed record
KMeans,echocardiogram,42,new_run,yes,transductive,,accepted target seed record
KMeans,echocardiogram,123,new_run,yes,transductive,,accepted target seed record
KMeans,echocardiogram,7,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,echocardiogram,42,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,echocardiogram,123,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,echocardiogram,7,new_run,yes,transductive,,accepted target seed record
KMeans,ecoli,42,new_run,yes,transductive,,accepted target seed record
KMeans,ecoli,123,new_run,yes,transductive,,accepted target seed record
KMeans,ecoli,7,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,ecoli,42,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,ecoli,123,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,ecoli,7,new_run,yes,transductive,,accepted target seed record
KMeans,enron,42,new_run,yes,transductive,,accepted target seed record
KMeans,enron,123,new_run,yes,transductive,,accepted target seed record
KMeans,enron,7,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,enron,42,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,enron,123,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,enron,7,new_run,yes,transductive,,accepted target seed record
KMeans,epileptic_seizure_recognition,42,new_run,yes,transductive,,accepted target seed record
KMeans,epileptic_seizure_recognition,123,new_run,yes,transductive,,accepted target seed record
KMeans,epileptic_seizure_recognition,7,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,epileptic_seizure_recognition,42,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,epileptic_seizure_recognition,123,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,epileptic_seizure_recognition,7,new_run,yes,transductive,,accepted target seed record
KMeans,extyaleb,42,new_run,yes,transductive,,accepted target seed record
KMeans,extyaleb,123,new_run,yes,transductive,,accepted target seed record
KMeans,extyaleb,7,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,extyaleb,42,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,extyaleb,123,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,extyaleb,7,new_run,yes,transductive,,accepted target seed record
KMeans,fabert,42,new_run,yes,transductive,,accepted target seed record
KMeans,fabert,123,new_run,yes,transductive,,accepted target seed record
KMeans,fabert,7,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,fabert,42,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,fabert,123,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,fabert,7,new_run,yes,transductive,,accepted target seed record
KMeans,fashion_mnist,42,new_run,yes,transductive,,accepted target seed record
KMeans,fashion_mnist,123,new_run,yes,transductive,,accepted target seed record
KMeans,fashion_mnist,7,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,fashion_mnist,42,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,fashion_mnist,123,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,fashion_mnist,7,new_run,yes,transductive,,accepted target seed record
KMeans,FashionMNIST_CLIP,42,new_run,yes,transductive,,accepted target seed record
KMeans,FashionMNIST_CLIP,123,new_run,yes,transductive,,accepted target seed record
KMeans,FashionMNIST_CLIP,7,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,FashionMNIST_CLIP,42,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,FashionMNIST_CLIP,123,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,FashionMNIST_CLIP,7,new_run,yes,transductive,,accepted target seed record
KMeans,fbis.wc,42,new_run,yes,transductive,,accepted target seed record
KMeans,fbis.wc,123,new_run,yes,transductive,,accepted target seed record
KMeans,fbis.wc,7,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,fbis.wc,42,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,fbis.wc,123,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,fbis.wc,7,new_run,yes,transductive,,accepted target seed record
KMeans,fetal_health_classification,42,new_run,yes,transductive,,accepted target seed record
KMeans,fetal_health_classification,123,new_run,yes,transductive,,accepted target seed record
KMeans,fetal_health_classification,7,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,fetal_health_classification,42,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,fetal_health_classification,123,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,fetal_health_classification,7,new_run,yes,transductive,,accepted target seed record
KMeans,first-order-theorem-proving,42,new_run,yes,transductive,,accepted target seed record
KMeans,first-order-theorem-proving,123,new_run,yes,transductive,,accepted target seed record
KMeans,first-order-theorem-proving,7,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,first-order-theorem-proving,42,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,first-order-theorem-proving,123,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,first-order-theorem-proving,7,new_run,yes,transductive,,accepted target seed record
KMeans,flickr_material_database,42,new_run,yes,transductive,,accepted target seed record
KMeans,flickr_material_database,123,new_run,yes,transductive,,accepted target seed record
KMeans,flickr_material_database,7,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,flickr_material_database,42,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,flickr_material_database,123,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,flickr_material_database,7,new_run,yes,transductive,,accepted target seed record
KMeans,fraud_detection_bank,42,new_run,yes,transductive,,accepted target seed record
KMeans,fraud_detection_bank,123,new_run,yes,transductive,,accepted target seed record
KMeans,fraud_detection_bank,7,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,fraud_detection_bank,42,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,fraud_detection_bank,123,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,fraud_detection_bank,7,new_run,yes,transductive,,accepted target seed record
KMeans,gas-drift,42,new_run,yes,transductive,,accepted target seed record
KMeans,gas-drift,123,new_run,yes,transductive,,accepted target seed record
KMeans,gas-drift,7,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,gas-drift,42,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,gas-drift,123,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,gas-drift,7,new_run,yes,transductive,,accepted target seed record
KMeans,gina_prior2,42,new_run,yes,transductive,,accepted target seed record
KMeans,gina_prior2,123,new_run,yes,transductive,,accepted target seed record
KMeans,gina_prior2,7,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,gina_prior2,42,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,gina_prior2,123,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,gina_prior2,7,new_run,yes,transductive,,accepted target seed record
KMeans,glass_identification,42,new_run,yes,transductive,,accepted target seed record
KMeans,glass_identification,123,new_run,yes,transductive,,accepted target seed record
KMeans,glass_identification,7,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,glass_identification,42,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,glass_identification,123,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,glass_identification,7,new_run,yes,transductive,,accepted target seed record
KMeans,har,42,new_run,yes,transductive,,accepted target seed record
KMeans,har,123,new_run,yes,transductive,,accepted target seed record
KMeans,har,7,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,har,42,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,har,123,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,har,7,new_run,yes,transductive,,accepted target seed record
KMeans,harbermans_survival,42,new_run,yes,transductive,,accepted target seed record
KMeans,harbermans_survival,123,new_run,yes,transductive,,accepted target seed record
KMeans,harbermans_survival,7,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,harbermans_survival,42,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,harbermans_survival,123,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,harbermans_survival,7,new_run,yes,transductive,,accepted target seed record
KMeans,hate_speech,42,new_run,yes,transductive,,accepted target seed record
KMeans,hate_speech,123,new_run,yes,transductive,,accepted target seed record
KMeans,hate_speech,7,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,hate_speech,42,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,hate_speech,123,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,hate_speech,7,new_run,yes,transductive,,accepted target seed record
KMeans,heart_attack_analysis_prediction_dataset,42,new_run,yes,transductive,,accepted target seed record
KMeans,heart_attack_analysis_prediction_dataset,123,new_run,yes,transductive,,accepted target seed record
KMeans,heart_attack_analysis_prediction_dataset,7,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,heart_attack_analysis_prediction_dataset,42,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,heart_attack_analysis_prediction_dataset,123,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,heart_attack_analysis_prediction_dataset,7,new_run,yes,transductive,,accepted target seed record
KMeans,heart_disease,42,new_run,yes,transductive,,accepted target seed record
KMeans,heart_disease,123,new_run,yes,transductive,,accepted target seed record
KMeans,heart_disease,7,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,heart_disease,42,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,heart_disease,123,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,heart_disease,7,new_run,yes,transductive,,accepted target seed record
KMeans,hepatitis,42,new_run,yes,transductive,,accepted target seed record
KMeans,hepatitis,123,new_run,yes,transductive,,accepted target seed record
KMeans,hepatitis,7,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,hepatitis,42,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,hepatitis,123,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,hepatitis,7,new_run,yes,transductive,,accepted target seed record
KMeans,htru2,42,new_run,yes,transductive,,accepted target seed record
KMeans,htru2,123,new_run,yes,transductive,,accepted target seed record
KMeans,htru2,7,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,htru2,42,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,htru2,123,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,htru2,7,new_run,yes,transductive,,accepted target seed record
KMeans,human_stress_detection,42,new_run,yes,transductive,,accepted target seed record
KMeans,human_stress_detection,123,new_run,yes,transductive,,accepted target seed record
KMeans,human_stress_detection,7,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,human_stress_detection,42,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,human_stress_detection,123,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,human_stress_detection,7,new_run,yes,transductive,,accepted target seed record
KMeans,image_segmentation,42,new_run,yes,transductive,,accepted target seed record
KMeans,image_segmentation,123,new_run,yes,transductive,,accepted target seed record
KMeans,image_segmentation,7,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,image_segmentation,42,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,image_segmentation,123,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,image_segmentation,7,new_run,yes,transductive,,accepted target seed record
KMeans,imdb,42,new_run,yes,transductive,,accepted target seed record
KMeans,imdb,123,new_run,yes,transductive,,accepted target seed record
KMeans,imdb,7,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,imdb,42,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,imdb,123,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,imdb,7,new_run,yes,transductive,,accepted target seed record
KMeans,Indian_pines,42,new_run,yes,transductive,,accepted target seed record
KMeans,Indian_pines,123,new_run,yes,transductive,,accepted target seed record
KMeans,Indian_pines,7,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,Indian_pines,42,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,Indian_pines,123,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,Indian_pines,7,new_run,yes,transductive,,accepted target seed record
KMeans,insurance_company_benchmark,42,new_run,yes,transductive,,accepted target seed record
KMeans,insurance_company_benchmark,123,new_run,yes,transductive,,accepted target seed record
KMeans,insurance_company_benchmark,7,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,insurance_company_benchmark,42,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,insurance_company_benchmark,123,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,insurance_company_benchmark,7,new_run,yes,transductive,,accepted target seed record
KMeans,ionosphere,42,new_run,yes,transductive,,accepted target seed record
KMeans,ionosphere,123,new_run,yes,transductive,,accepted target seed record
KMeans,ionosphere,7,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,ionosphere,42,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,ionosphere,123,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,ionosphere,7,new_run,yes,transductive,,accepted target seed record
KMeans,iris,42,new_run,yes,transductive,,accepted target seed record
KMeans,iris,123,new_run,yes,transductive,,accepted target seed record
KMeans,iris,7,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,iris,42,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,iris,123,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,iris,7,new_run,yes,transductive,,accepted target seed record
KMeans,ISOLET,42,new_run,yes,transductive,,accepted target seed record
KMeans,ISOLET,123,new_run,yes,transductive,,accepted target seed record
KMeans,ISOLET,7,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,ISOLET,42,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,ISOLET,123,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,ISOLET,7,new_run,yes,transductive,,accepted target seed record
KMeans,JapaneseVowels,42,new_run,yes,transductive,,accepted target seed record
KMeans,JapaneseVowels,123,new_run,yes,transductive,,accepted target seed record
KMeans,JapaneseVowels,7,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,JapaneseVowels,42,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,JapaneseVowels,123,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,JapaneseVowels,7,new_run,yes,transductive,,accepted target seed record
KMeans,labeled_faces_in_the_wild,42,new_run,yes,transductive,,accepted target seed record
KMeans,labeled_faces_in_the_wild,123,new_run,yes,transductive,,accepted target seed record
KMeans,labeled_faces_in_the_wild,7,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,labeled_faces_in_the_wild,42,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,labeled_faces_in_the_wild,123,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,labeled_faces_in_the_wild,7,new_run,yes,transductive,,accepted target seed record
KMeans,letter_recognition,42,new_run,yes,transductive,,accepted target seed record
KMeans,letter_recognition,123,new_run,yes,transductive,,accepted target seed record
KMeans,letter_recognition,7,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,letter_recognition,42,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,letter_recognition,123,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,letter_recognition,7,new_run,yes,transductive,,accepted target seed record
KMeans,magic_gamma_telescope,42,new_run,yes,transductive,,accepted target seed record
KMeans,magic_gamma_telescope,123,new_run,yes,transductive,,accepted target seed record
KMeans,magic_gamma_telescope,7,new_run,yes,transductive,,accepted target seed record
