artifact_class,artifact_note,completed_rows,incomplete_rows,replay_eligible_rows,reported_rows,source_batch,source_file_present_rows,source_hash,version
metadata_or_registry_only,A0 does not promote replay eligibility from a summary table; exact arrays/checkpoints require a separate artifact gate.,1490,0,0,0,V18/scmae_mainline_v2_2,0,39dfb6d9f25be389bf4b377a88c0c4a4bc2d8dbfe1a6d25486ab40ee7f84dfaf,V18
metadata_or_registry_only,A0 does not promote replay eligibility from a summary table; exact arrays/checkpoints require a separate artifact gate.,26,0,0,0,V19/extended_sparse,0,39dfb6d9f25be389bf4b377a88c0c4a4bc2d8dbfe1a6d25486ab40ee7f84dfaf,V19
metadata_or_registry_only,A0 does not promote replay eligibility from a summary table; exact arrays/checkpoints require a separate artifact gate.,16,0,0,0,V19/plantnet_transfer,0,39dfb6d9f25be389bf4b377a88c0c4a4bc2d8dbfe1a6d25486ab40ee7f84dfaf,V19
metadata_or_registry_only,A0 does not promote replay eligibility from a summary table; exact arrays/checkpoints require a separate artifact gate.,66,0,0,0,V19/postfreeze,0,39dfb6d9f25be389bf4b377a88c0c4a4bc2d8dbfe1a6d25486ab40ee7f84dfaf,V19
metadata_or_registry_only,A0 does not promote replay eligibility from a summary table; exact arrays/checkpoints require a separate artifact gate.,8,0,0,0,V20/full8_seed42,0,39dfb6d9f25be389bf4b377a88c0c4a4bc2d8dbfe1a6d25486ab40ee7f84dfaf,V20
metadata_or_registry_only,A0 does not promote replay eligibility from a summary table; exact arrays/checkpoints require a separate artifact gate.,36,0,0,0,V21/formal6_graphfix,0,39dfb6d9f25be389bf4b377a88c0c4a4bc2d8dbfe1a6d25486ab40ee7f84dfaf,V21
metadata_or_registry_only,A0 does not promote replay eligibility from a summary table; exact arrays/checkpoints require a separate artifact gate.,14,2,0,0,V22/cooperative_full_single_seed,0,39dfb6d9f25be389bf4b377a88c0c4a4bc2d8dbfe1a6d25486ab40ee7f84dfaf,V22
metadata_or_registry_only,A0 does not promote replay eligibility from a summary table; exact arrays/checkpoints require a separate artifact gate.,24,0,0,0,V22/hard_gate_resource_recovery,0,39dfb6d9f25be389bf4b377a88c0c4a4bc2d8dbfe1a6d25486ab40ee7f84dfaf,V22
not_available_in_audited_long_table,No non-smoke final artifact in the audited snapshot.,0,0,0,0,,0,a150b9f5edf42d9fc738aa0a5e6b2ff3475d9ee5cd00563dbd5ff2b5785261ab,V01
not_available_in_audited_long_table,No non-smoke final artifact in the audited snapshot.,0,0,0,0,,0,a150b9f5edf42d9fc738aa0a5e6b2ff3475d9ee5cd00563dbd5ff2b5785261ab,V02
not_available_in_audited_long_table,No non-smoke final artifact in the audited snapshot.,0,0,0,0,,0,a150b9f5edf42d9fc738aa0a5e6b2ff3475d9ee5cd00563dbd5ff2b5785261ab,V03
not_available_in_audited_long_table,No non-smoke final artifact in the audited snapshot.,0,0,0,0,,0,a150b9f5edf42d9fc738aa0a5e6b2ff3475d9ee5cd00563dbd5ff2b5785261ab,V04
not_available_in_audited_long_table,No non-smoke final artifact in the audited snapshot.,0,0,0,0,,0,a150b9f5edf42d9fc738aa0a5e6b2ff3475d9ee5cd00563dbd5ff2b5785261ab,V05
not_available_in_audited_long_table,No non-smoke final artifact in the audited snapshot.,0,0,0,0,,0,a150b9f5edf42d9fc738aa0a5e6b2ff3475d9ee5cd00563dbd5ff2b5785261ab,V06
not_available_in_audited_long_table,No non-smoke final artifact in the audited snapshot.,0,0,0,0,,0,a150b9f5edf42d9fc738aa0a5e6b2ff3475d9ee5cd00563dbd5ff2b5785261ab,V07
not_available_in_audited_long_table,No non-smoke final artifact in the audited snapshot.,0,0,0,0,,0,a150b9f5edf42d9fc738aa0a5e6b2ff3475d9ee5cd00563dbd5ff2b5785261ab,V08
not_available_in_audited_long_table,No promotable non-smoke final table.,0,0,0,0,,0,a150b9f5edf42d9fc738aa0a5e6b2ff3475d9ee5cd00563dbd5ff2b5785261ab,V15
not_available_in_audited_long_table,No promotable final table; V16.1 is separate.,0,0,0,0,,0,a150b9f5edf42d9fc738aa0a5e6b2ff3475d9ee5cd00563dbd5ff2b5785261ab,V16
not_available_in_audited_long_table,Reference implementation only; no performance evidence.,0,0,0,0,,0,a150b9f5edf42d9fc738aa0a5e6b2ff3475d9ee5cd00563dbd5ff2b5785261ab,V17
formal_boundary_evidence,No-Go boundary evidence; not pooled into V1-V22 intervention atlas.,12,0,0,0,V23_cycle_response/m0_synthetic_protocol_a_v1,1,213dff99ffdf13494cc4b5822fc7efb6425d2d31520fc692c007f2363d6c3c1f,V23
formal_boundary_evidence,Calibration No-Go; no efficacy conclusion.,200,0,0,0,V24_conditional_response/q1_synthetic_v2,1,ff64e84088fd3f467e412648963322b7aacc2198024d9a0905271d6f7ef2618d,V24
