alternative_explanation,artifact_status,baseline_bin,causal_status,condition,confidence,control_ari,control_variant,current_ari,dataset_id,delta_ari,effect_state,evidence_level,evidence_source,failure_pattern,gate_usage_raw,global_delta,global_metric,global_nonpositive,input_protocol,interpretation,intervention_location,label_free_local_metric_available,local_delta,local_global_disconnect,local_metric,local_metric_label_use,local_positive,magnitude_proxy_json,magnitude_proxy_keys,measurement_timing,negative_headroom,paired_delta_scope,positive_headroom,post_treatment_descriptor,readout,replay_eligible,seed_count,seeds,selection_policy,source_batch,status,structural_source,variant,variant_family,version
Self control is v9_nomix; deltas are recomputed from the same dataset-seed rows.,registry_only,0.4-0.6,observational,,low_observational_summary,0.532422308704628,v9_nomix,0.5392200542980489,landsat,0.006797745593420834,observed-small,3-seed paired ablation,A0_audited_long_table,observed_small_effect,,,,,raw_related_advantage (protocol detail absent from final_results CSV),,sample/neighbor relation,,,,,,,{},,post_intervention,0.532422308704628,seed_matched_exact_from_ablation_runs,0.46757769129537197,paired/final ARI is downstream of the intervention; no causal direction inferred,KMeans/legacy V9 readout (exact mode not recorded in snapshot),False,3,123|42|7,random control,V09/advantage_ablation,completed,neighbor/topology graph,v9_random,random,V09
Self control is v9_nomix; deltas are recomputed from the same dataset-seed rows.,registry_only,0.4-0.6,observational,,low_observational_summary,0.532422308704628,v9_nomix,0.5379230057771865,landsat,0.005500697072558514,observed-small,3-seed paired ablation,A0_audited_long_table,observed_small_effect,,,,,raw_related_advantage (protocol detail absent from final_results CSV),,sample/neighbor relation,,,,,,,{},,post_intervention,0.532422308704628,seed_matched_exact_from_ablation_runs,0.46757769129537197,paired/final ARI is downstream of the intervention; no causal direction inferred,KMeans/legacy V9 readout (exact mode not recorded in snapshot),False,3,123|42|7,learned policy,V09/advantage_ablation,completed,neighbor/topology graph,v9_full,learned,V09
Self control is v9_nomix; deltas are recomputed from the same dataset-seed rows.,registry_only,0.2-0.4,observational,,low_observational_summary,0.2606094534163331,v9_nomix,0.24911311669707367,spect_heart,-0.011496336719259453,observed-small,3-seed paired ablation,A0_audited_long_table,observed_small_effect,,,,,raw_related_advantage (protocol detail absent from final_results CSV),,sample/neighbor relation,,,,,,,{},,post_intervention,0.2606094534163331,seed_matched_exact_from_ablation_runs,0.7393905465836669,paired/final ARI is downstream of the intervention; no causal direction inferred,KMeans/legacy V9 readout (exact mode not recorded in snapshot),False,3,123|42|7,fixed/analytic policy,V09/advantage_ablation,completed,neighbor/topology graph,v9_static,static,V09
Self control is v9_nomix; deltas are recomputed from the same dataset-seed rows.,registry_only,0.2-0.4,observational,,low_observational_summary,0.2606094534163331,v9_nomix,0.217015126607934,spect_heart,-0.043594326808399114,negative,3-seed paired ablation,A0_audited_long_table,observed_intervention_harm,,,,,raw_related_advantage (protocol detail absent from final_results CSV),,sample/neighbor relation,,,,,,,{},,post_intervention,0.2606094534163331,seed_matched_exact_from_ablation_runs,0.7393905465836669,paired/final ARI is downstream of the intervention; no causal direction inferred,KMeans/legacy V9 readout (exact mode not recorded in snapshot),False,3,123|42|7,random control,V09/advantage_ablation,completed,neighbor/topology graph,v9_random,random,V09
Self control is v9_nomix; deltas are recomputed from the same dataset-seed rows.,registry_only,0.2-0.4,observational,,low_observational_summary,0.2606094534163331,v9_nomix,0.24806707310785492,spect_heart,-0.012542380308478207,observed-small,3-seed paired ablation,A0_audited_long_table,observed_small_effect,,,,,raw_related_advantage (protocol detail absent from final_results CSV),,sample/neighbor relation,,,,,,,{},,post_intervention,0.2606094534163331,seed_matched_exact_from_ablation_runs,0.7393905465836669,paired/final ARI is downstream of the intervention; no causal direction inferred,KMeans/legacy V9 readout (exact mode not recorded in snapshot),False,3,123|42|7,learned policy,V09/advantage_ablation,completed,neighbor/topology graph,v9_full,learned,V09
Self control is v9_nomix; deltas are recomputed from the same dataset-seed rows.,registry_only,<0.2,observational,,low_observational_summary,0.08630162716147993,v9_nomix,0.08365803820732477,vehicle,-0.00264358895415516,observed-small,3-seed paired ablation,A0_audited_long_table,observed_small_effect,,,,,raw_related_advantage (protocol detail absent from final_results CSV),,sample/neighbor relation,,,,,,,{},,post_intervention,0.08630162716147993,seed_matched_exact_from_ablation_runs,0.9136983728385201,paired/final ARI is downstream of the intervention; no causal direction inferred,KMeans/legacy V9 readout (exact mode not recorded in snapshot),False,3,123|42|7,fixed/analytic policy,V09/advantage_ablation,completed,neighbor/topology graph,v9_static,static,V09
Self control is v9_nomix; deltas are recomputed from the same dataset-seed rows.,registry_only,<0.2,observational,,low_observational_summary,0.08630162716147993,v9_nomix,0.07499630909667078,vehicle,-0.011305318064809153,observed-small,3-seed paired ablation,A0_audited_long_table,observed_small_effect,,,,,raw_related_advantage (protocol detail absent from final_results CSV),,sample/neighbor relation,,,,,,,{},,post_intervention,0.08630162716147993,seed_matched_exact_from_ablation_runs,0.9136983728385201,paired/final ARI is downstream of the intervention; no causal direction inferred,KMeans/legacy V9 readout (exact mode not recorded in snapshot),False,3,123|42|7,random control,V09/advantage_ablation,completed,neighbor/topology graph,v9_random,random,V09
Self control is v9_nomix; deltas are recomputed from the same dataset-seed rows.,registry_only,<0.2,observational,,low_observational_summary,0.08630162716147993,v9_nomix,0.07486536316044129,vehicle,-0.011436264001038643,observed-small,3-seed paired ablation,A0_audited_long_table,observed_small_effect,,,,,raw_related_advantage (protocol detail absent from final_results CSV),,sample/neighbor relation,,,,,,,{},,post_intervention,0.08630162716147993,seed_matched_exact_from_ablation_runs,0.9136983728385201,paired/final ARI is downstream of the intervention; no causal direction inferred,KMeans/legacy V9 readout (exact mode not recorded in snapshot),False,3,123|42|7,learned policy,V09/advantage_ablation,completed,neighbor/topology graph,v9_full,learned,V09
Self control is v9_nomix; deltas are recomputed from the same dataset-seed rows.,registry_only,0.2-0.4,observational,,low_observational_summary,0.2510598025146813,v9_nomix,0.24245303611773675,vertebral_column,-0.008606766396944548,observed-small,3-seed paired ablation,A0_audited_long_table,observed_small_effect,,,,,raw_related_advantage (protocol detail absent from final_results CSV),,sample/neighbor relation,,,,,,,{},,post_intervention,0.2510598025146813,seed_matched_exact_from_ablation_runs,0.7489401974853187,paired/final ARI is downstream of the intervention; no causal direction inferred,KMeans/legacy V9 readout (exact mode not recorded in snapshot),False,3,123|42|7,fixed/analytic policy,V09/advantage_ablation,completed,neighbor/topology graph,v9_static,static,V09
Self control is v9_nomix; deltas are recomputed from the same dataset-seed rows.,registry_only,0.2-0.4,observational,,low_observational_summary,0.2510598025146813,v9_nomix,0.23399849286975907,vertebral_column,-0.017061309644922223,observed-small,3-seed paired ablation,A0_audited_long_table,observed_small_effect,,,,,raw_related_advantage (protocol detail absent from final_results CSV),,sample/neighbor relation,,,,,,,{},,post_intervention,0.2510598025146813,seed_matched_exact_from_ablation_runs,0.7489401974853187,paired/final ARI is downstream of the intervention; no causal direction inferred,KMeans/legacy V9 readout (exact mode not recorded in snapshot),False,3,123|42|7,random control,V09/advantage_ablation,completed,neighbor/topology graph,v9_random,random,V09
Self control is v9_nomix; deltas are recomputed from the same dataset-seed rows.,registry_only,0.2-0.4,observational,,low_observational_summary,0.2510598025146813,v9_nomix,0.23399849286975907,vertebral_column,-0.017061309644922223,observed-small,3-seed paired ablation,A0_audited_long_table,observed_small_effect,,,,,raw_related_advantage (protocol detail absent from final_results CSV),,sample/neighbor relation,,,,,,,{},,post_intervention,0.2510598025146813,seed_matched_exact_from_ablation_runs,0.7489401974853187,paired/final ARI is downstream of the intervention; no causal direction inferred,KMeans/legacy V9 readout (exact mode not recorded in snapshot),False,3,123|42|7,learned policy,V09/advantage_ablation,completed,neighbor/topology graph,v9_full,learned,V09
The published aggregate table contains same-seed counts but not per-seed ARI rows.,registry_only,<0.2,observational,,low_observational_summary,0.1918,v9_nomix,0.2288,Campbell,0.037000000000000005,positive,3-seed aggregate ablation,A0_audited_long_table,observed_positive_intervention_gain,,,,,historical_merged_summary (input protocol not recorded in final_results),,sample/neighbor relation,,,,,,,{},,post_intervention,0.1918,same-seed-count aggregate; seed-wise rows not published,0.8082,paired/final ARI is downstream of the intervention; no causal direction inferred,V9 legacy readout,False,3,7|42|123,random control,V09/legacy_multiseed,completed,neighbor/topology graph,v9_random_neighbors,random,V09
The published aggregate table contains same-seed counts but not per-seed ARI rows.,registry_only,<0.2,observational,,low_observational_summary,0.1918,v9_nomix,0.2307,Campbell,0.03889999999999999,positive,3-seed aggregate ablation,A0_audited_long_table,observed_positive_intervention_gain,,,,,historical_merged_summary (input protocol not recorded in final_results),,sample/neighbor relation,,,,,,,{},,post_intervention,0.1918,same-seed-count aggregate; seed-wise rows not published,0.8082,paired/final ARI is downstream of the intervention; no causal direction inferred,V9 legacy readout,False,3,7|42|123,fixed/analytic policy,V09/legacy_multiseed,completed,neighbor/topology graph,v9_static_gate,static,V09
The published aggregate table contains same-seed counts but not per-seed ARI rows.,registry_only,<0.2,observational,,low_observational_summary,0.1918,v9_nomix,0.1774,Campbell,-0.014399999999999996,observed-small,3-seed aggregate ablation,A0_audited_long_table,observed_small_effect,,,,,historical_merged_summary (input protocol not recorded in final_results),,sample/neighbor relation,,,,,,,{},,post_intervention,0.1918,same-seed-count aggregate; seed-wise rows not published,0.8082,paired/final ARI is downstream of the intervention; no causal direction inferred,V9 legacy readout,False,3,7|42|123,random control,V09/legacy_multiseed,completed,neighbor/topology graph,v9_static_random,random,V09
The published aggregate table contains same-seed counts but not per-seed ARI rows.,registry_only,0.4-0.6,observational,,low_observational_summary,0.5234,v9_nomix,0.5088,ISOLET,-0.014599999999999946,observed-small,3-seed aggregate ablation,A0_audited_long_table,observed_small_effect,,,,,historical_merged_summary (input protocol not recorded in final_results),,sample/neighbor relation,,,,,,,{},,post_intervention,0.5234,same-seed-count aggregate; seed-wise rows not published,0.4766,paired/final ARI is downstream of the intervention; no causal direction inferred,V9 legacy readout,False,3,7|42|123,random control,V09/legacy_multiseed,completed,neighbor/topology graph,v9_random_neighbors,random,V09
The published aggregate table contains same-seed counts but not per-seed ARI rows.,registry_only,0.4-0.6,observational,,low_observational_summary,0.5234,v9_nomix,0.4968,ISOLET,-0.026599999999999957,observed-small,3-seed aggregate ablation,A0_audited_long_table,observed_small_effect,,,,,historical_merged_summary (input protocol not recorded in final_results),,sample/neighbor relation,,,,,,,{},,post_intervention,0.5234,same-seed-count aggregate; seed-wise rows not published,0.4766,paired/final ARI is downstream of the intervention; no causal direction inferred,V9 legacy readout,False,3,7|42|123,fixed/analytic policy,V09/legacy_multiseed,completed,neighbor/topology graph,v9_static_gate,static,V09
The published aggregate table contains same-seed counts but not per-seed ARI rows.,registry_only,0.4-0.6,observational,,low_observational_summary,0.5234,v9_nomix,0.515,ISOLET,-0.008399999999999963,observed-small,3-seed aggregate ablation,A0_audited_long_table,observed_small_effect,,,,,historical_merged_summary (input protocol not recorded in final_results),,sample/neighbor relation,,,,,,,{},,post_intervention,0.5234,same-seed-count aggregate; seed-wise rows not published,0.4766,paired/final ARI is downstream of the intervention; no causal direction inferred,V9 legacy readout,False,3,7|42|123,random control,V09/legacy_multiseed,completed,neighbor/topology graph,v9_static_random,random,V09
The published aggregate table contains same-seed counts but not per-seed ARI rows.,registry_only,>=0.8,observational,,low_observational_summary,0.9479,v9_nomix,0.93,Mouse_retina,-0.017899999999999916,observed-small,3-seed aggregate ablation,A0_audited_long_table,observed_small_effect,,,,,historical_merged_summary (input protocol not recorded in final_results),,sample/neighbor relation,,,,,,,{},,post_intervention,0.9479,same-seed-count aggregate; seed-wise rows not published,0.052100000000000035,paired/final ARI is downstream of the intervention; no causal direction inferred,V9 legacy readout,False,3,7|42|123,random control,V09/legacy_multiseed,completed,neighbor/topology graph,v9_random_neighbors,random,V09
The published aggregate table contains same-seed counts but not per-seed ARI rows.,registry_only,>=0.8,observational,,low_observational_summary,0.9479,v9_nomix,0.9221,Mouse_retina,-0.025799999999999934,observed-small,3-seed aggregate ablation,A0_audited_long_table,observed_small_effect,,,,,historical_merged_summary (input protocol not recorded in final_results),,sample/neighbor relation,,,,,,,{},,post_intervention,0.9479,same-seed-count aggregate; seed-wise rows not published,0.052100000000000035,paired/final ARI is downstream of the intervention; no causal direction inferred,V9 legacy readout,False,3,7|42|123,fixed/analytic policy,V09/legacy_multiseed,completed,neighbor/topology graph,v9_static_gate,static,V09
The published aggregate table contains same-seed counts but not per-seed ARI rows.,registry_only,>=0.8,observational,,low_observational_summary,0.9479,v9_nomix,0.9363,Mouse_retina,-0.011599999999999944,observed-small,3-seed aggregate ablation,A0_audited_long_table,observed_small_effect,,,,,historical_merged_summary (input protocol not recorded in final_results),,sample/neighbor relation,,,,,,,{},,post_intervention,0.9479,same-seed-count aggregate; seed-wise rows not published,0.052100000000000035,paired/final ARI is downstream of the intervention; no causal direction inferred,V9 legacy readout,False,3,7|42|123,random control,V09/legacy_multiseed,completed,neighbor/topology graph,v9_static_random,random,V09
The published aggregate table contains same-seed counts but not per-seed ARI rows.,registry_only,<0.2,observational,,low_observational_summary,0.1637,v9_nomix,0.1731,Quake_Smart-seq2_Lung,0.009399999999999992,observed-small,3-seed aggregate ablation,A0_audited_long_table,observed_small_effect,,,,,historical_merged_summary (input protocol not recorded in final_results),,sample/neighbor relation,,,,,,,{},,post_intervention,0.1637,same-seed-count aggregate; seed-wise rows not published,0.8363,paired/final ARI is downstream of the intervention; no causal direction inferred,V9 legacy readout,False,3,7|42|123,random control,V09/legacy_multiseed,completed,neighbor/topology graph,v9_random_neighbors,random,V09
The published aggregate table contains same-seed counts but not per-seed ARI rows.,registry_only,<0.2,observational,,low_observational_summary,0.1637,v9_nomix,0.1689,Quake_Smart-seq2_Lung,0.005199999999999982,observed-small,3-seed aggregate ablation,A0_audited_long_table,observed_small_effect,,,,,historical_merged_summary (input protocol not recorded in final_results),,sample/neighbor relation,,,,,,,{},,post_intervention,0.1637,same-seed-count aggregate; seed-wise rows not published,0.8363,paired/final ARI is downstream of the intervention; no causal direction inferred,V9 legacy readout,False,3,7|42|123,fixed/analytic policy,V09/legacy_multiseed,completed,neighbor/topology graph,v9_static_gate,static,V09
The published aggregate table contains same-seed counts but not per-seed ARI rows.,registry_only,<0.2,observational,,low_observational_summary,0.1637,v9_nomix,0.1572,Quake_Smart-seq2_Lung,-0.006500000000000006,observed-small,3-seed aggregate ablation,A0_audited_long_table,observed_small_effect,,,,,historical_merged_summary (input protocol not recorded in final_results),,sample/neighbor relation,,,,,,,{},,post_intervention,0.1637,same-seed-count aggregate; seed-wise rows not published,0.8363,paired/final ARI is downstream of the intervention; no causal direction inferred,V9 legacy readout,False,3,7|42|123,random control,V09/legacy_multiseed,completed,neighbor/topology graph,v9_static_random,random,V09
The published aggregate table contains same-seed counts but not per-seed ARI rows.,registry_only,>=0.8,observational,,low_observational_summary,0.8763,v9_nomix,0.8947,breast_cancer_wisconsin_original,0.018400000000000083,observed-small,3-seed aggregate ablation,A0_audited_long_table,observed_small_effect,,,,,historical_merged_summary (input protocol not recorded in final_results),,sample/neighbor relation,,,,,,,{},,post_intervention,0.8763,same-seed-count aggregate; seed-wise rows not published,0.12370000000000003,paired/final ARI is downstream of the intervention; no causal direction inferred,V9 legacy readout,False,3,7|42|123,random control,V09/legacy_multiseed,completed,neighbor/topology graph,v9_random_neighbors,random,V09
The published aggregate table contains same-seed counts but not per-seed ARI rows.,registry_only,>=0.8,observational,,low_observational_summary,0.8763,v9_nomix,0.891,breast_cancer_wisconsin_original,0.014700000000000046,observed-small,3-seed aggregate ablation,A0_audited_long_table,observed_small_effect,,,,,historical_merged_summary (input protocol not recorded in final_results),,sample/neighbor relation,,,,,,,{},,post_intervention,0.8763,same-seed-count aggregate; seed-wise rows not published,0.12370000000000003,paired/final ARI is downstream of the intervention; no causal direction inferred,V9 legacy readout,False,3,7|42|123,fixed/analytic policy,V09/legacy_multiseed,completed,neighbor/topology graph,v9_static_gate,static,V09
The published aggregate table contains same-seed counts but not per-seed ARI rows.,registry_only,>=0.8,observational,,low_observational_summary,0.8763,v9_nomix,0.8928,breast_cancer_wisconsin_original,0.01650000000000007,observed-small,3-seed aggregate ablation,A0_audited_long_table,observed_small_effect,,,,,historical_merged_summary (input protocol not recorded in final_results),,sample/neighbor relation,,,,,,,{},,post_intervention,0.8763,same-seed-count aggregate; seed-wise rows not published,0.12370000000000003,paired/final ARI is downstream of the intervention; no causal direction inferred,V9 legacy readout,False,3,7|42|123,random control,V09/legacy_multiseed,completed,neighbor/topology graph,v9_static_random,random,V09
The published aggregate table contains same-seed counts but not per-seed ARI rows.,registry_only,0.2-0.4,observational,,low_observational_summary,0.3324,v9_nomix,0.2791,cnae9,-0.05329999999999996,negative,3-seed aggregate ablation,A0_audited_long_table,observed_intervention_harm,,,,,historical_merged_summary (input protocol not recorded in final_results),,sample/neighbor relation,,,,,,,{},,post_intervention,0.3324,same-seed-count aggregate; seed-wise rows not published,0.6676,paired/final ARI is downstream of the intervention; no causal direction inferred,V9 legacy readout,False,3,7|42|123,random control,V09/legacy_multiseed,completed,neighbor/topology graph,v9_random_neighbors,random,V09
The published aggregate table contains same-seed counts but not per-seed ARI rows.,registry_only,0.2-0.4,observational,,low_observational_summary,0.3324,v9_nomix,0.3031,cnae9,-0.029299999999999993,observed-small,3-seed aggregate ablation,A0_audited_long_table,observed_small_effect,,,,,historical_merged_summary (input protocol not recorded in final_results),,sample/neighbor relation,,,,,,,{},,post_intervention,0.3324,same-seed-count aggregate; seed-wise rows not published,0.6676,paired/final ARI is downstream of the intervention; no causal direction inferred,V9 legacy readout,False,3,7|42|123,fixed/analytic policy,V09/legacy_multiseed,completed,neighbor/topology graph,v9_static_gate,static,V09
The published aggregate table contains same-seed counts but not per-seed ARI rows.,registry_only,0.2-0.4,observational,,low_observational_summary,0.3324,v9_nomix,0.2848,cnae9,-0.047599999999999976,negative,3-seed aggregate ablation,A0_audited_long_table,observed_intervention_harm,,,,,historical_merged_summary (input protocol not recorded in final_results),,sample/neighbor relation,,,,,,,{},,post_intervention,0.3324,same-seed-count aggregate; seed-wise rows not published,0.6676,paired/final ARI is downstream of the intervention; no causal direction inferred,V9 legacy readout,False,3,7|42|123,random control,V09/legacy_multiseed,completed,neighbor/topology graph,v9_static_random,random,V09
The published aggregate table contains same-seed counts but not per-seed ARI rows.,registry_only,0.6-0.8,observational,,low_observational_summary,0.7818,v9_nomix,0.7849,enron,0.0030999999999999917,observed-small,3-seed aggregate ablation,A0_audited_long_table,observed_small_effect,,,,,historical_merged_summary (input protocol not recorded in final_results),,sample/neighbor relation,,,,,,,{},,post_intervention,0.7818,same-seed-count aggregate; seed-wise rows not published,0.21819999999999995,paired/final ARI is downstream of the intervention; no causal direction inferred,V9 legacy readout,False,3,7|42|123,random control,V09/legacy_multiseed,completed,neighbor/topology graph,v9_random_neighbors,random,V09
The published aggregate table contains same-seed counts but not per-seed ARI rows.,registry_only,0.6-0.8,observational,,low_observational_summary,0.7818,v9_nomix,0.7933,enron,0.011499999999999955,observed-small,3-seed aggregate ablation,A0_audited_long_table,observed_small_effect,,,,,historical_merged_summary (input protocol not recorded in final_results),,sample/neighbor relation,,,,,,,{},,post_intervention,0.7818,same-seed-count aggregate; seed-wise rows not published,0.21819999999999995,paired/final ARI is downstream of the intervention; no causal direction inferred,V9 legacy readout,False,3,7|42|123,fixed/analytic policy,V09/legacy_multiseed,completed,neighbor/topology graph,v9_static_gate,static,V09
The published aggregate table contains same-seed counts but not per-seed ARI rows.,registry_only,0.6-0.8,observational,,low_observational_summary,0.7818,v9_nomix,0.7827,enron,0.0008999999999999009,observed-small,3-seed aggregate ablation,A0_audited_long_table,observed_small_effect,,,,,historical_merged_summary (input protocol not recorded in final_results),,sample/neighbor relation,,,,,,,{},,post_intervention,0.7818,same-seed-count aggregate; seed-wise rows not published,0.21819999999999995,paired/final ARI is downstream of the intervention; no causal direction inferred,V9 legacy readout,False,3,7|42|123,random control,V09/legacy_multiseed,completed,neighbor/topology graph,v9_static_random,random,V09
The published aggregate table contains same-seed counts but not per-seed ARI rows.,registry_only,<0.2,observational,,low_observational_summary,0.0269,v9_nomix,0.0228,first-order-theorem-proving,-0.0040999999999999995,observed-small,3-seed aggregate ablation,A0_audited_long_table,observed_small_effect,,,,,historical_merged_summary (input protocol not recorded in final_results),,sample/neighbor relation,,,,,,,{},,post_intervention,0.0269,same-seed-count aggregate; seed-wise rows not published,0.9731,paired/final ARI is downstream of the intervention; no causal direction inferred,V9 legacy readout,False,3,7|42|123,random control,V09/legacy_multiseed,completed,neighbor/topology graph,v9_random_neighbors,random,V09
